,filename,part,staves,mc_mean,mn_mean
22,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_2,[2],41.01525658807212,41.01525658807212
23,A_breeze_from_alabama.mscz,part_1,[1],40.44924812030075,39.44924812030075
24,baby_i_dont_know_oh_oh_intro.mscz,part_1,"[1, 2]",5.0,5.0
25,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,"[1, 2]",22.032019704433498,22.032019704433498
26,Bach_Up_To_Me__Fats_Waller.mscz,part_1,"[1, 2]",56.85634066448292,56.85634066448292
27,Ben_Hur_Chariot_Race_March_by_E.T._Paull_1894.mscz,part_1,[1],87.37669764117227,87.37669764117227
28,Ben_Hur_Chariot_Race_March_by_E.T._Paull_1894.mscz,part_2,[2],85.87953795379538,85.87953795379538
29,Bethena_-_Scott_Joplin.mscz,part_1,"[1, 2]",79.63104838709677,79.63104838709677
30,Big_Bad_Bill_Is_Sweet_William_Now__Lead_sheet_with_lyrics_.mscz,part_1,[1],27.013274336283185,26.013274336283185
31,Black_and_White_Rag_-_arr._Winifred_Atwell.mscz,part_1,"[1, 2]",74.245567710298,74.245567710298
32,Black_and_White_Rag_-_George_Botsford.mscz,part_1,"[1, 2]",42.93553223388306,42.93553223388306
33,Black_and_White_Rag__George_Botsford (1).mscz,part_1,"[1, 2]",42.744,42.744
34,Black_and_White_Rag__George_Botsford.mscz,part_1,[1],75.48213081591369,75.48213081591369
35,Black_and_White_Rag__George_Botsford.mscz,part_2,[2],76.47870528109028,76.47870528109028
